# UNCOUPLED disc motion
# 
#  D = 2.0000
#  thk = 0.0500
#  mJ = 0.2121
#  kJ = 0.0000
# 
# t               T               t_h1               omega               theta
0.175000        -.592135E-04    0.243116E-07    -.501725E-04    -.443652E-05
0.177500        -.591741E-04    0.248196E-07    -.508690E-04    -.456283E-05
0.180000        -.591347E-04    0.253308E-07    -.515650E-04    -.469087E-05
0.182500        -.590954E-04    0.258450E-07    -.522606E-04    -.482065E-05
0.185000        -.590561E-04    0.263624E-07    -.529557E-04    -.495217E-05
0.187500        -.590167E-04    0.268828E-07    -.536504E-04    -.508543E-05
0.190000        -.589774E-04    0.274062E-07    -.543445E-04    -.522043E-05
0.192500        -.589381E-04    0.279326E-07    -.550382E-04    -.535716E-05
0.195000        -.588987E-04    0.284620E-07    -.557315E-04    -.549562E-05
0.197500        -.588594E-04    0.289944E-07    -.564242E-04    -.563581E-05
0.200000        -.588199E-04    0.295296E-07    -.571165E-04    -.577774E-05
0.202500        -.587805E-04    0.300677E-07    -.578083E-04    -.592140E-05
0.205000        -.587410E-04    0.306087E-07    -.584997E-04    -.606678E-05
0.207500        -.587014E-04    0.311526E-07    -.591906E-04    -.621390E-05
0.210000        -.586618E-04    0.316992E-07    -.598810E-04    -.636274E-05
0.212500        -.586221E-04    0.322486E-07    -.605709E-04    -.651330E-05
0.215000        -.585823E-04    0.328008E-07    -.612604E-04    -.666559E-05
0.217500        -.585424E-04    0.333557E-07    -.619493E-04    -.681960E-05
0.220000        -.585025E-04    0.339133E-07    -.626378E-04    -.697534E-05
0.222500        -.584624E-04    0.344736E-07    -.633259E-04    -.713279E-05
0.225000        -.584223E-04    0.350366E-07    -.640134E-04    -.729197E-05
0.227500        -.583820E-04    0.356022E-07    -.647005E-04    -.745286E-05
0.230000        -.583416E-04    0.361704E-07    -.653871E-04    -.761547E-05
0.232500        -.583012E-04    0.367412E-07    -.660732E-04    -.777980E-05
0.235000        -.582606E-04    0.373145E-07    -.667588E-04    -.794584E-05
0.237500        -.582198E-04    0.378904E-07    -.674439E-04    -.811359E-05
0.240000        -.581790E-04    0.384689E-07    -.681286E-04    -.828306E-05
0.242500        -.581380E-04    0.390498E-07    -.688128E-04    -.845423E-05
0.245000        -.580968E-04    0.396332E-07    -.694964E-04    -.862712E-05
0.247500        -.580556E-04    0.402190E-07    -.701796E-04    -.880172E-05
0.250000        -.580141E-04    0.408073E-07    -.708623E-04    -.897802E-05
0.252500        -.579725E-04    0.413980E-07    -.715445E-04    -.915603E-05
0.255000        -.579308E-04    0.419911E-07    -.722262E-04    -.933574E-05
0.257500        -.578889E-04    0.425865E-07    -.729074E-04    -.951716E-05
0.260000        -.578468E-04    0.431843E-07    -.735881E-04    -.970028E-05
0.262500        -.578046E-04    0.437844E-07    -.742682E-04    -.988510E-05
0.265000        -.577622E-04    0.443869E-07    -.749479E-04    -.100716E-04
0.267500        -.577196E-04    0.449916E-07    -.756271E-04    -.102598E-04
0.270000        -.576768E-04    0.455986E-07    -.763058E-04    -.104498E-04
0.272500        -.576338E-04    0.462078E-07    -.769839E-04    -.106414E-04
0.275000        -.575907E-04    0.468192E-07    -.776616E-04    -.108347E-04
0.277500        -.575473E-04    0.474329E-07    -.783387E-04    -.110297E-04
0.280000        -.575038E-04    0.480487E-07    -.790153E-04    -.112264E-04
0.282500        -.574600E-04    0.486667E-07    -.796914E-04    -.114248E-04
0.285000        -.574160E-04    0.492869E-07    -.803669E-04    -.116248E-04
0.287500        -.573719E-04    0.499091E-07    -.810420E-04    -.118266E-04
0.290000        -.573275E-04    0.505335E-07    -.817165E-04    -.120300E-04
0.292500        -.572829E-04    0.511600E-07    -.823905E-04    -.122352E-04
0.295000        -.572380E-04    0.517885E-07    -.830639E-04    -.124420E-04
0.297500        -.571930E-04    0.524191E-07    -.837368E-04    -.126505E-04
0.300000        -.571477E-04    0.530517E-07    -.844092E-04    -.128607E-04
0.302500        -.571021E-04    0.536863E-07    -.850810E-04    -.130725E-04
0.305000        -.570564E-04    0.543230E-07    -.857523E-04    -.132861E-04
0.307500        -.570104E-04    0.549616E-07    -.864230E-04    -.135013E-04
0.310000        -.569641E-04    0.556021E-07    -.870932E-04    -.137182E-04
0.312500        -.569176E-04    0.562446E-07    -.877628E-04    -.139368E-04
0.315000        -.568708E-04    0.568890E-07    -.884319E-04    -.141570E-04
0.317500        -.568238E-04    0.575353E-07    -.891004E-04    -.143789E-04
0.320000        -.567765E-04    0.581835E-07    -.897683E-04    -.146025E-04
0.322500        -.567289E-04    0.588335E-07    -.904357E-04    -.148278E-04
0.325000        -.566810E-04    0.594854E-07    -.911025E-04    -.150547E-04
0.327500        -.566329E-04    0.601392E-07    -.917688E-04    -.152833E-04
0.330000        -.565845E-04    0.607947E-07    -.924344E-04    -.155135E-04
0.332500        -.565357E-04    0.614520E-07    -.930995E-04    -.157455E-04
0.335000        -.564867E-04    0.621111E-07    -.937640E-04    -.159790E-04
0.337500        -.564374E-04    0.627720E-07    -.944279E-04    -.162143E-04
0.340000        -.563878E-04    0.634346E-07    -.950912E-04    -.164512E-04
0.342500        -.563379E-04    0.640989E-07    -.957540E-04    -.166897E-04
0.345000        -.562876E-04    0.647649E-07    -.964161E-04    -.169300E-04
